src_text,label,language
"nga thusedzo ya muṱangano wa mulalo we wa thomiwa nga vha tshumelo ya mapholisa ya afrika tshipembe nga tshumisano na vharangaphanḓa vha tshitshavha, zwitshavha zwo ṱangana hu u itela u tikedza avho vhe vha kwamea nga khakhathi na u vula nḓila dza u ambedzana.
",0,ven
"afrika borwa e tla tšwela pele go bapala karolo ya yona ya go hlohletša botee bja kontinente, le go thekga modu lasetulo yo a tlago gammogo le mokgatlo maitekelong a wona a go fihlella ditlhologelo tša lenaneothero la 2063 la au.
",0,nso
"leswi nga kumiwa hi xiviko dsiu yi lavisisile tikontiraka ta 5 467 leti nga nyikiwa vanyiki va vukorhokeri va 3 066, ta ntsengo wa r14.3 wa tibiliyoni.
",0,tso
"mananeo a ka legatong la mathomo a phethagaditšwe ke dikgoro tša bosetšhaba tše 11. mediro ya tšona e beakantšwe go efoga poeletšo le tshenyo le go kaonafatša go ithuta go tšwa go boitemogelo bja di kgoro tše dingwe.
",0,nso
"vho ri vhudza ngaha nyiledzo dza u tshimbila kha matshilo a vhathu na vhubindudzi havho.
",0,ven
"imimiselo yokumiswa ngxi kweentshukumo yaye yacelwa umngeni kwakwiveki yokuqala yokumiswa ngxi kweentshukumo ngummi wasempumalanga obefuna ukunxaxha kokuthintelwa kwehambo kuba efuna ukuvunyelwa aye emngcwabeni.
",0,xho
masipala u ṱalutshedza maano a u fhaṱa zwivhalo zwa mushumo. Khomphani dza matshilisano dzi do wana vhulanganelwa ha mvelaphanda. Vhathu vha.,1,ven
"umntu kufuneka ajonge kuphela ekungazinzini kumasebe karhulumente xa kutshintshwa abaphathi abaphezulu okanye betha thelwa indawo ngabanye abaphathi ngalo lonke ixesha xa kuqeshwa umphathiswa omtsha.
",0,xho
ku ta va ni ku cinca eka mphakelo wa mati ni gezi. Ntirho wo hlawuleka wa ta sunguriwa emasunguleni.,1,tso
"mopresidente o be gape a bolela ka molaophetošwa o moswa wa bosenyi (melato ya go amana le thobalano le merero yeo e amanago le yona) woo o dirago gore e be molato go šomišwa bošaedi le go goketšwa ka tša thobalano ga batho bao ba nago le bogolofadi bja monagano.
",0,nso
nḓivhadzo ya nḓila dza u fhaṱa nḓila dzi khou itwa nga masipala. Vhathu vha ṱuṱuwedzwa u ṱanganela kha nyendo dza mvelaphanda. Vhadzulapo vha khou humbelwa Vhadzulapo vha khou humbelwa u dzhiela nṱha pfanelo dzavho. Vhathu vha ṱuṱuwedzwa u ṱanganela kha nyendo dza mvelaphanda..,1,ven
uMasipala ubhengeze izicwangciso zokuphucula iinkonzo. UMasipala ubhengeze izicwangciso.,1,xho
mekgwa ya mmušo e hlophilwe go oketša phedišano. Mašeleng a tla abelwa mafapha a bohlokwa go netefatša tšwelopele. Se se tla thuša go hlaola diphapano setšhabeng.,1,nso
"u bva nga ṅwaha wa 2018 vharangaphanḓa vha sialala vho ṋetshedza hekithara dza mavu avho dza 1 500 000 uri a shumiswe kha mveledziso, nahone hu khou fulufhelwa uri zwa u ṋetshedzwa ha mavu hu tshi itelwa mve ledziso zwi ḓo engedzea tshifhingani tshi ḓaho.
",0,ven
bafaladi ba kgopelwa go ngwadiša bakeng sa thuso ya matlo. Komiti ya tikologo e tla swara kopano le setšhaba. Komiti ya tikologo e tla swara kopano le setšhaba. Komiti ya.,1,nso
"""u sa bulwa ha zwidodombedzwa zwavho ho khwathisedzwaarali muthu wa tsevhi a sa ṱoḓi dzina ḽawe ḽi tshi bulwa, muofi siri wa nomboro ya luṱingo lwa u vhiga mafhungo wa psc u ḓo ṅwala fhedzi zwidodombe dzwa zwavho zwa vhukwa mani.
",0,ven
hu do fhaṱwa tshikolo tshiswa u thusa vhafunziwa vha.,1,ven
komiti ya tikologo e tla swara kopano le setšhaba. Mogwera wa.,1,nso
lenaneo la tlhokomelo ya maphelo le tla thomišwa kgweding ye e tlago. Bafaladi ba kgopelwa go ngwadiša bakeng sa thuso ya matlo. Lenaneo.,1,nso
"tsošološo ya mešomo e tla kgontšha kgoro ya tša selegae go thwala baswa ba 10 000 bao ba sa šomego go yo fetolela ditokomane tša pampiri go ba tša ditšithale, gomme sekhwama sa mešomo ya leago se tla hlola menyetla e mengwe gape e 50 000. kgoro ya thuto ya godimo le tlhahlo e tla fa dialoga tše 10 000 tša thuto le tlhahlo ya mešomo ya diatla menyetla ya mešomo go tloga ka moranang 2022. websaete ya sayouth.
",0,nso
"xana ku humelela yini endzhakukaloko vulu mandleve byi endliwile?
",0,tso
"kanti mhlawumbi kokona kukhulu sinako kumzabalazo wethu okhulayo ukoyisa ubhubhane wentsholongwane yecorona.
",0,xho
tlhahlobo ya mešomo e tla dirwa kgwedi e tlago. Lenaneo la tlhokomelo ya maphelo le tla thomišwa kgweding ye e tlago. Go na le diphetogo go tšweletšong ya motlakase le meetse. Mogwera wa.,1,nso
vhathu vha ṱuṱuwedzwa u ṱanganela kha nyendo dza mvelaphanda. Nḓivhadzo ya nḓila dza u fhaṱa.,1,ven
bafaladi ba kgopelwa go ngwadiša bakeng sa thuso ya matlo. Go na le diphetogo go tšweletšong ya motlakase le meetse. Lenaneo.,1,nso
"havha vhashumi vha tou wana fhedzi masheleni a si gathi a u vha livhuwa kha mushumo wavho wa u bikela vhagudi.
",0,ven
iKomiti yendalo iya kubamba intlanganiso noluntu. Izikolo ezintsha ziya kwakhiwa ukwenzela uncedo kubantwana. Uhlaziyo lwemigaqo yokuhanjiswa kwamanzi nombane luya kuqalwa. Izikolo ezintsha ziya kwakhiwa ukwenzela uncedo.,1,xho
"kahlekahle, ku hambana loku ku na ntiyiso.
",0,tso
uhlaziyo lwemigaqo yokuhanjiswa kwamanzi nombane luya kuqalwa. Uluntu luyakhuthazwa ukuba luthathe inxaxheba kuguquko. Amaqela oluntu aya kuxhaswa.,1,xho
vhathu vha ṱuṱuwedzwa u ṱanganela kha nyendo dza mvelaphanda Hu khou lavhelelwa uri vhathu vha kone u wana maṅwalo o teaho. Vhadzulapo vha khou humbelwa u dzhiela nṱha pfanelo dzavho. Khomphani dza matshilisano dzi do wana vhulanganelwa ha mvelaphanda..,1,ven
"kweyokwindla kulo nyaka ikomishoni yokhuphiswano ikhuphele uluntu ukuba luhlomle kwimiqathango yophando lwemarike ngemveliso entsha.
",0,xho
"naa go direga eng ge ke sa naa go direga eng ge ke sa bontšha maswao ka morago bontšha maswao ka morago ga matšatši a 10?
",0,nso
"kgoro e fane ka dibaotšhara tša go bitša r1.2 bilione go balemi bao ba di hlokago.
",0,nso
abasebenzi boluntu bafumana uqeqesho ukuze baphucule iinkonzo. Abasebenzi boluntu bafumana uqeqesho ukuze baphucule iinkonzo. UMasipala ubhengeze izicwangciso zokuphucula iinkonzo. Kusungulwa inkqubo entsha.,1,xho
"tshiṅwe na tshiṅwe tsha zwiṱiriki izwi tsho wana zwishumiswa zwa ofisini na dzikhompiyutha.
",0,ven
khomphani dza matshilisano dzi do wana vhulanganelwa ha mvelaphanda. Masipala.,1,ven
"ka moka re ka mo mmogo, ebile re na le maikarabelo a go swana a go tšea lehudu, ra sepetša mmogo le go otlela naga ya rena ka mo meetseng a a diphefo tše maatla.",0,nso
"siza kuqhubeka ukwamkela iimbono ezahlukeneyo – nkqu nezo zinxaxhileyo – malunga nendlela yethu yokuqubisana netsholongwane yecorona yesizwe.
",0,xho
"tanihi mfumo, hi ta nyika vuxokoxoko hi mayelana na miphalalo yo kongoma leyi nga eku tekiweni ku vhikela vaakatiko va ka hina lava nga sirhelelekangiki swinene eka ku fa hi ndlala loku languteriweke.
",0,tso
"xa nkoka, miantswiso leyi yi ta nyika eskom xivandla xo tirhana na mitlhontlho ya yona ya swa timali na ya matirhelo.
",0,tso
go na le diphetogo go tšweletšong ya motlakase le meetse. Komiti ya tikologo e tla swara kopano le setšhaba. Bafaladi.,1,nso
"u wana mafhungo nga vhuḓalo, kha vha dalele webusaithi ya woza matrics kha: wozamatrics.co.za kana vha rumele imeiḽi kha: info@wozamatrics.co.za",0,ven
amaqela oluntu aya kuxhaswa ngurhulumente wengingqi. Izikolo ezintsha ziya kwakhiwa ukwenzela uncedo kubantwana. UMasipala ubhengeze izicwangciso zokuphucula iinkonzo. UMasipala ubhengeze izicwangciso zokuphucula iinkonzo. Abahlali bayacelwa ukuba babhalisele uncedo lwezindlu..,1,xho
khomphani dza matshilisano dzi do wana vhulanganelwa ha mvelaphanda. Masipala u ṱalutshedza maano a u fhaṱa zwivhalo zwa mushumo. Nḓivhadzo ya.,1,ven
abahlali bayacelwa ukuba babhalisele uncedo lwezindlu. Abasebenzi boluntu bafumana uqeqesho ukuze baphucule iinkonzo. Abasebenzi boluntu bafumana uqeqesho ukuze baphucule.,1,xho
"tanihi xiphemu xa pfhumba ra hina ra ku tumbuluxa rixaka rintshwa ra van'watifeme va vantima, n'wexemu mfumo wu pasise r2.5 wa tibiliyo ni eka nseketelo wuntshwa eka kwalomu ka 180 wa van'watifeme va vantima hi xivumbeko xa swikweleti kusuka eka idc na nkwama wa havexerisamatimba wa rixaka (nef) na timalimpfuneto kusuka eka xikimi xa swihlohloteri xa dtic.
",0,tso
vaendli va nawu va khensa nkarhi wa vun'we exikarhi ka.,1,tso
izikolo ezintsha ziya kwakhiwa ukwenzela uncedo kubantwana. UMasipala ubhengeze izicwangciso zokuphucula iinkonzo. Kusungulwa inkqubo entsha yempilo yabantu kule nyanga izayo. Abasebenzi boluntu bafumana uqeqesho ukuze baphucule iinkonzo. Abahlali bayacelwa ukuba babhalisele uncedo.,1,xho
komiti ya tikologo e tla swara kopano le setšhaba. Go na le.,1,nso
"nokuba kunzima kulo nyaka, kodwa ndiqinisekile ukuba siza kuwoyisa lo bhubhane kwaye sibeke ilizwe lethu ekhondweni lendlela yokubuyela kwimeko yesiqhelo.
",0,xho
nḓivhadzo ya nḓila dza u fhaṱa nḓila dzi khou itwa nga masipala. Hu do fhaṱwa tshikolo tshiswa u thusa vhafunziwa vha eneo. Masipala.,1,ven
"wun'wana wa mitlhontlho leyi yi tumbulukeke etikweni ra ka hina i ku hlekuriwa ka vanhu lava va kombeke vumbhoni bya ku va na khoronavhayirasi.
",0,tso
"nangona esi sifo singenakufaniswa nantoni na eyakhe yakhona ngaphambili nomngeni o mkhulu wokubeka ilizwe elinabantu abangama58 zezigidi phantsi kokuvalele ka phantsi kwemiqathango ethile, siqhube kakuhle.
",0,xho
"go kokotlela go tla ba boima le gona go tla tšea nako, kudukudu ka gore re sa lebane le leuba.
",0,nso
"nga ṅwambo wa mbekanyamushumo iyi ya nsnp, vhana vhanzhi zwazwino vha vho kona u ya tshikoloni nga tshifhinga nahone misi yoṱhe khathihi na uri u kona u thetshelesa havho musi vhe ngomu kiḽasini na hone ho khwinifhadzea.
",0,ven
uhlaziyo lwemigaqo yokuhanjiswa kwamanzi nombane luya kuqalwa. Uhlaziyo lwemigaqo yokuhanjiswa kwamanzi nombane. Abasebenzi boluntu bafumana uqeqesho ukuze baphucule iinkonzo..,1,xho
iKomiti yendalo iya kubamba intlanganiso noluntu. Kusungulwa inkqubo entsha yempilo yabantu kule nyanga izayo. Kusungulwa inkqubo entsha yempilo yabantu kule nyanga izayo. Kusungulwa inkqubo entsha yempilo yabantu kule nyanga izayo. Amaqela oluntu.,1,xho
"moreromogolo wa go neelana ka dihekthara tše tša naga ke go fetoša ponego ya temo ka go tšweletša bafsa ba balemi.
",0,nso
"nawu lowu wu tlhela wu vula leswaku milandzu ya swa masangu ehenhla ka vanhu lava va tsoniweke emiehleketweni yi fanele ku rhekodiwa eka rhijisitara ra rixaka ra vaonhi va swa masangu (nrso).
",0,tso
izikolo ezintsha ziya kwakhiwa ukwenzela uncedo kubantwana. Izikolo ezintsha ziya kwakhiwa ukwenzela uncedo kubantwana. IKomiti.,1,xho
masipala u ṱalutshedza maano a u fhaṱa zwivhalo zwa mushumo. Vhathu vha ṱuṱuwedzwa u ṱanganela kha nyendo dza mvelaphanda. Khomphani dza matshilisano dzi do wana vhulanganelwa ha mvelaphanda Khomphani dza matshilisano dzi do wana vhulanganelwa ha mvelaphanda. Hu do fhaṱwa tshikolo tshiswa u thusa vhafunziwa vha eneo..,1,ven
"iṅwe ngoho ndi ya uri zwikambi zwi tou vha iṅwe ya nḓila dza u ḓimvumvusa ha vhaswa kha zwitshavha zwine khazwo zwikhala zwa vhuḓimvumvusi ho tsireledzeaho nahone vhu elanaho na miṅwaha ya vhaswa vhenevho zwa sa wanale nga vhunzhi.
",0,ven
"bontši bja badudi ba naga dihlokwa tša bona di be di sa tšeelwe hlogong bjalo ka ge di beilwe fase go ya mafelelong a mabakatheo a 121 a molaotheo wo, ka gare ga karolo ya go bitšwa ‘tshepedišo ya merero ya bathobaso, bjalobjalo.’mo molaetšeng wa go gašwa thelebišeneng, tonakgolo hf verwoerd o rile: ""re nyaka tlhabollo ya go nanya ya morafe wo mongwe le wo mongwe wa rena go ya lehlakoreng le itšeng.
",0,nso
"zonke iiyunivesithi zikarhulumente, iikholeji zetvet kwakunye neeseta zizakukwazi ukufikelela kwiziko ledatabase yecach zikhangela abantu abahlangabezana nemilinganiselo yezithuba ezisafumanekayo.
",0,xho
vahlayi va kombiwa ku tsarisa eka ntirho wa ndzhawu ya.,1,tso
"phurojeke yi pfu neta hi swa timali eka 21 wa tingo leti nga seketela ku tlula 3500 wa vavabyi, leti nhlayo nyingi ya tona ti kumekaka ematikoxikaya.
",0,tso
"fhedzi ri nga fhungudza tshinyalelo ine tshi nga i bveledza kha matshilo ashu.
",0,ven
"re rekile ra bo ra romela dimilionemilione tsa didirisiwa tsa ipabalesego kwa dipetlele, ditleliniki le kwa dikolong go ralala le naga e le go ka babalela batlhankedi ba rona ba ba kopanang le badirelwa.
",0,tso
iKomiti yendalo iya kubamba intlanganiso noluntu. UMasipala ubhengeze izicwangciso zokuphucula iinkonzo. UMasipala ubhengeze izicwangciso zokuphucula iinkonzo. Izikolo ezintsha ziya kwakhiwa ukwenzela uncedo kubantwana. UMasipala ubhengeze izicwangciso zokuphucula iinkonzo..,1,xho
"rhekodo ya vonelo ra 2018 leyi endliweke hi senthara ya ndzavisiso ya pew yi komba leswaku maafrikadzonga ma tala ku teka goza ra swa tipolitiki hi mayelana na timhaka leti va vilerisaka swinene, ku fana na nhlayiso wa rihanyu, dyondzo, ntshuxeko wo vulavula na vukungundzwana.
",0,tso
khomphani dza matshilisano dzi do wana vhulanganelwa ha mvelaphanda. Nḓivhadzo ya nḓila dza u fhaṱa nḓila dzi khou itwa nga.,1,ven
"ukuba uziva unazo naziphi kwezi mpawu, cela uncedo lweengcali zonyango kwa ngoko.
",0,xho
lenaneo la tlhokomelo ya maphelo le tla thomišwa kgweding ye e tlago. Bafaladi ba kgopelwa go ngwadiša bakeng sa thuso ya matlo. Go na le diphetogo go.,1,nso
vahlayi va kombiwa ku tsarisa eka ntirho wa ndzhawu ya vutshamo. Ndlela yo lulamisa swiphiqo yi le ku lunghiseleriwa. Vaendli va nawu va.,1,tso
"""ri ḓo ṱumanya vhupo ha tshivhilelani huṅwe na huṅwe na tshumelo dza u linga, zwiimiswa zwa u ḓikhethela thungo, zwiimiswa zwa khwaranthini, dzilafho, mimbete ya sibadela na u londa vho kwamanaho na muthu o kavhiwaho.
",0,ven
komiti ya tikologo e tla swara kopano le setšhaba. Bafaladi ba kgopelwa go ngwadiša bakeng sa thuso ya matlo. Bafaladi ba kgopelwa go ngwadiša bakeng sa thuso ya matlo. Komiti ya tikologo e tla swara.,1,nso
uMasipala ubhengeze izicwangciso zokuphucula iinkonzo. Uluntu luyakhuthazwa ukuba luthathe inxaxheba kuguquko. Amaqela oluntu aya kuxhaswa.,1,xho
"a hi tirheni swin’we ku tiyisisa leswaku vanhu lava rhangisaka bindzulo ku tlula vutomi bya vana va hina a va pfumeleriwi ku xavisa.
",0,tso
"ngoko ke kufuneka siyinyusile inkxaso yabasetyhini ukubenza bakwazi ukuzimela ngokwezezimali.
",0,xho
"musi izwi zwi tshi ṱoḓa vhukando ha tshitshavha nga vhuphara, ndi ita khuwelo kha vhanna vha vhaswa nga maanḓa kha u lwisa khakhathi dzo ḓisendekaho nga mbeu.
",0,ven
"vho mohammed vho wana covid19 kha munna wavho, vha shumaho laborithari ya sibadela tsha groote schuur.
",0,ven
hu do fhaṱwa tshikolo tshiswa u thusa vhafunziwa vha eneo. Vhathu vha ṱuṱuwedzwa u ṱanganela kha nyendo dza mvelaphanda. Vhathu vha ṱuṱuwedzwa u ṱanganela kha nyendo dza mvelaphanda. Vhadzulapo vha khou humbelwa.,1,ven
"abanye baye ezinkundleni phantsi kwebango lokungxamiseka kwamatyala wabo apho iingxoxo zokungxamiseka kwamatyala wabo ziye zachithwa yinkundla abanye baye balandela ndlela zimbi ukufumana uncedo abebelufuna.
",0,xho
"mmušo, kgwebo, bašomi le setšhaba sa tikologo ba kopane mmogo go thuša batho ba go se šome go kgatha tema ka gare ga ikonomi.
",0,nso
"bjalo ka karolo ya lesolo la go hloma moloko o moswa wa bahlomi ba dikgwebo, mo ngwageng wo o feti lego mmušo o dumeletše r2.5 pilione ka thekgong ye mpsha go bahlomi ba dii ntasteri ba bathobaso bao ba ka bago ba 180 ka mokgwa wa dikadimo go tšwa go idc le sekhwama sa maatlafatšo sa bosetšhaba (nef) le dithušo tša ditšhelete go tšwa go setlamo sa diputseletšo sa dtic.
",0,nso
vahlayi va kombiwa ku tsarisa eka ntirho wa ndzhawu ya vutshamo. Ndlela yo lulamisa swiphiqo yi le ku lunghiseleriwa. Ku ta va ni ku cinca eka mphakelo wa. Vahlayi va kombiwa ku tsarisa eka ntirho wa ndzhawu ya vutshamo..,1,tso
komiti ya tikologo e tla swara kopano le setšhaba. Komiti ya tikologo e tla swara kopano le setšhaba. Komiti ya tikologo e tla swara kopano le setšhaba. Bafaladi ba kgopelwa.,1,nso
"balemipotlana ba go feta 74 000 le bona ba tla fiwa mašeleng a gore ba kgone go tšweletša.
",0,nso
komiti ya mbangu yi ta khoma nhlangano ni vaaki. Komiti ya mbangu yi ta khoma.,1,tso
"lefaseng ka bophara go na le batho ba go feta 3.4 milione bao ba fetetšwego ke leuba le, mola ba go feta 240 000 ba šetše ba hlokofetše.
",0,nso
"bjale re ka gare ga diphetogo tša go tloga seemong sa kimo llo go ya go sa kaonafalo.
",0,nso
"balaodipharephare (didg) le baetapele ba dikgoro (dihod) diprofenseng ba amega kudu ka maatla.
",0,nso
abasebenzi boluntu bafumana uqeqesho ukuze baphucule iinkonzo. Abasebenzi boluntu bafumana uqeqesho ukuze baphucule iinkonzo. Abasebenzi boluntu bafumana uqeqesho ukuze baphucule iinkonzo. Uhlaziyo lwemigaqo yokuhanjiswa kwamanzi nombane luya kuqalwa Uhlaziyo lwemigaqo yokuhanjiswa kwamanzi nombane luya kuqalwa. Uluntu luyakhuthazwa ukuba luthathe inxaxheba kuguquko..,1,xho
amaqela oluntu aya kuxhaswa ngurhulumente wengingqi. Abasebenzi boluntu bafumana uqeqesho ukuze baphucule iinkonzo. Uluntu luyakhuthazwa ukuba luthathe inxaxheba kuguquko. Kusungulwa inkqubo entsha.,1,xho
abahlali bayacelwa ukuba babhalisele uncedo lwezindlu. Izikolo ezintsha ziya kwakhiwa ukwenzela uncedo kubantwana. UMasipala ubhengeze izicwangciso. UMasipala ubhengeze izicwangciso zokuphucula iinkonzo..,1,xho
"kwicandelo lamanzi, ioperation vulindlela inikezela ngenkxaso yobuchwephesha kwisebe lezamanzi nogutyulo ukuze liphumeze isicwangciso sotshintsho ekunikezelweni kweelayisenisi zokusebenzisa amanzi, lijolise ekujongeni malunga nama80% zazo zonke izicelo zingaphelanga iintsuku ezingama90.
",0,xho
hu do fhaṱwa tshikolo tshiswa u thusa vhafunziwa vha eneo. Vhathu vha ṱuṱuwedzwa u ṱanganela kha.,1,ven
"amaxesha eeloli okwenza imi sebenzi yazo aphucuke kakhulu.
",0,xho
"zwo dzhia matshilo a vhathu vhanzhi, hu tshi katelwa na vhana.
",0,ven
masipala u ṱalutshedza maano a u fhaṱa zwivhalo zwa mushumo. Hu do fhaṱwa tshikolo tshiswa u.,1,ven
"naswona mipfuxeto ya milawu ekuheteleleni yi ta tisa makete wa gezi wo chipa wuntshwa, lowu seketeriwaka hi ku hangalasiwa ka nawumbisi wo cinca malawulelo ya gezi na ntirho lowu yaka emahlweni ku cinca pholisi ya ku veka mixavo ya gezi.
",0,tso
"''mabufho ane a bva kha vha sandf na one o shumiswa kha zwa u phulusa khathihi na u endedza nḓisedzo ya thundu dza u thusa; u fana na zwiḽiwa, maḓi, madennde na dzinguvho kha vhathu vha re vhupo vhu sa koni u swikelea.
",0,ven
"hambileswi ku nga ku tlula malembekhume manharhu ku nga si fika ku koxa ka ntshuxeko hi mihlangano ya ntshuxeko, hi kale hi wina ntshuxeko.
",0,tso
abahlali bayacelwa ukuba babhalisele uncedo lwezindlu. Kusungulwa inkqubo entsha yempilo yabantu kule nyanga izayo. Abahlali bayacelwa ukuba babhalisele uncedo lwezindlu. Abasebenzi boluntu bafumana uqeqesho ukuze baphucule iinkonzo. Izikolo ezintsha ziya kwakhiwa ukwenzela uncedo kubantwana. Uluntu luyakhuthazwa ukuba luthathe inxaxheba kuguquko. Izikolo ezintsha ziya.,1,xho
"amawonga ensnp isikolo samabanga aphantsi ithabang primary school esebethlehem, efreystata, sesinye sezikolo ezixhamlayo kwinsnp.
",0,xho
bafaladi ba kgopelwa go ngwadiša bakeng sa thuso ya matlo. Mogwera wa tikologo o boletše ka bohlokwa bja paballo ya tikologo. Ditokelo tša motheo di swanetše go šireletšwa.,1,nso
"ukudala imisebenzi kulo nyaka uphelileyo, izinga lentswelangqesho liye lafikelela kwelona nqanaba liphezulu elakhe labonwa lama34.9% kwikota yesithathu, emveni kwentshabalalo ebangelwe yicovid19.
",0,xho
ndzi tshembha leswaku ntirho lowu wu ta pfuna swirho swa muganga. Masipala wu tivisile leswaku ku ta endliwa ntirho wo antswisa switirhisiwa. Masipala wu tivisile leswaku ku.,1,tso
vhathu vha ṱuṱuwedzwa u ṱanganela kha nyendo dza mvelaphanda. Nḓivhadzo ya nḓila dza u fhaṱa nḓila dzi khou itwa nga masipala. Hu khou lavhelelwa.,1,ven
ntirho wo hlawuleka wa ta sunguriwa emasunguleni ya n'hweti. Ndzi tshembha leswaku ntirho lowu wu ta pfuna swirho swa muganga..,1,tso
"okubonakalayo kukuba iziko lobunkokheli bemve li liyayiqonda into yokuba ukuqeqeshelwa umsebenzi wobugcisa kubalulekile ku shishino lwasemaphandle ni ngohlobo lwa mashishini amancinci, aphakathi kunye nookopolotyeni ukuze babe yinxalenye yoqoqosho olu phambili.
",0,xho
hu khou lavhelelwa uri vhathu vha kone u wana maṅwalo o teaho. Vhathu vha ṱuṱuwedzwa.,1,ven
"ku rhwexiwa ka ku pfaleriwa ka tiko hinkwaro hi nkarhi wo koma swinene ku te na mitlhontlho yo hlayanyana.
",0,tso
"uhu u fhahewa ha muthelo wa mutengo wa zwivhaswa ho ḓisa ṱhaḓulo khulwane kha vhadzulapo vha afrika tshipembe u bva tshe ha thoma u ḓivhadzwa nga ṅwedzi wa lambamai.
",0,ven
vahlayi va kombiwa ku tsarisa eka ntirho wa ndzhawu ya vutshamo. Ku ta va.,1,tso
vhathu vha ṱuṱuwedzwa u ṱanganela kha nyendo dza mvelaphanda. Nḓivhadzo ya nḓila dza u fhaṱa nḓila dzi khou itwa nga masipala. Hu khou lavhelelwa uri vhathu vha kone u wana.,1,ven
mašeleng a a abelwago a šomišwa go hlabolla leago la maphelo. Se se tla thuša go hlaola diphapano setšhabeng. Dipalangwa di tla hlabollwa go fihlelela ditlhoko tša setšhaba.,1,nso
swi laveka leswaku ku vekiwa swiboho leswi nga ta pfuna hinkwavo. Ndlela yo lulamisa swiphiqo yi le ku lunghiseleriwa. Swi laveka leswaku ku vekiwa swiboho leswi Vaendli va nawu va khensa nkarhi wa vun'we exikarhi ka vaaki. Vaendli va nawu va khensa nkarhi wa vun'we exikarhi ka vaaki..,1,tso
"kungeso sizathu ke apho amanyathelo oncedo amaninzi enziweyo abeyimfu neko kwaye engxamisekile.
",0,xho
